PALB2	BRCA1
MT1G	-0.193480142597985	-0.152501705765411
MT1H	-0.145688439753799	-0.0991262948141543
MT1M	-0.284848482678378	-0.227426992349814
MT1X	-0.148693332488269	-0.160196501976307
MT2A	-0.218718128775958	-0.197311817132919
NXNL1	-0.057062293614115	-0.0755928620481735
PDIA6	0.224986062472385	0.27319629488572
SEPP1	-0.247176500913463	-0.313785744070869
TXN2	-0.230205868691721	-0.231742127201722
TMX1	0.567804766238478	0.506567667533429
TMX3	0.358182962336613	0.286260573517008
TXNDC11	-0.0355422681717463	-0.123561223333498
TXNDC12	0.358398291298918	0.352591675776796
TMX4	-0.0533722538106726	-0.159279528580844
TMX2	0.193335538716214	0.0924253002153653
TXNDC17	0.0862495936050845	0.122648720780625
TXNDC2	0.0907770173664011	0.0987635893635321
NME8	0.063393823716067	0.134099411326493
ERP44	0.102978498814886	0.131004716675009
TXNDC5	0.285334779952737	0.280898212971683
NME9	-0.0298692074845031	-0.024959349563642
TXNDC8	0.0636776967169147	0.087313204942021
TXNDC9	0.463810633688099	0.409197312782895
TXNIP	-0.0129890290738622	-0.15321839694286
TXNL1	0.00256874391929127	-0.065080524407202
TXNL4A	-0.0603237714577107	0.0257605495941205
TXNL4B	0.214534214461787	0.241707061371115
TXNRD2	-0.349844883125182	-0.295346879647868
TXNRD3	0.175187971062962	0.0558253278468643
UNG	0.519064821665228	0.46639495147158
SMUG1	0.0973496535907063	0.0911333340822948
MBD4	0.455866202301515	0.419486569023842
OGG1	-0.0129652102198269	0.00909095260378377
MUTYH	0.271986425241286	0.349615245139813
NTHL1	-0.0597857648231912	0.02835109075379
MPG	-0.143839513006449	-0.142757098257587
NEIL1	-0.107156774716728	-0.116741274247294
NEIL2	0.0158682007184854	-0.079492941524157
NEIL3	0.527408277950302	0.705661532329877
APEX1	0.351165823575553	0.28673562028
APEX2	0.458646902850915	0.46191608856632
LIG3	0.415317937998352	0.485417460512186
XRCC1	0.276617514288046	0.255356819988596
PNKP	-0.0231896099800486	0.0519603165821746
APLF	0.345255649652764	0.295435794506549
PARP1	0.546250307023923	0.577748609414069
PARP2	0.452785943394135	0.395999207204904
PARP3	0.0571024398671916	-0.128584566907602
MGMT	-0.299612422850475	-0.286502643323814
ALKBH2	0.0486534697096255	0.0521356869583108
ALKBH3	0.0617365644614696	-0.022905966158269
TDP1	0.579141553531245	0.597017017810815
TDP2	0.16914150716722	0.134758050475939
MSH2	0.678790419003359	0.660089031421536
MSH3	0.39682520656118	0.285384864113466
MSH6	0.617709514423586	0.648614086275624
MLH1	0.253293125567523	0.225596833950413
PMS2	0.518469034177602	0.343509683992247
MSH4	0.108903973810962	0.104410620290808
MSH5	0.32643524887938	0.437936762435262
MLH3	0.261434719169331	0.177725215027219
PMS1	0.511041726903259	0.489046619333194
PMS2P3	0.233455835561134	0.274788733432271
XPC	0.144547719413497	0.0129410534559655
RAD23B	0.423020362370102	0.333195719841966
CETN2	0.0462305355214138	-0.100291194256835
RAD23A	0.212621580223017	0.193572530222275
XPA	-0.0236619186930145	-0.0384183113123574
DDB1	0.322022114675938	0.188873310964411
DDB2	0.17125466311315	0.185377879054407
RPA1	0.52040977587339	0.496531782003995
RPA2	0.325572514592083	0.300428078675609
RPA3	0.277729788596066	0.37669917560348
ERCC3	0.508840526891573	0.429577189094193
ERCC2	0.0757823391149357	0.151668165113625
GTF2H1	0.521859027765939	0.427006587846075
GTF2H2	0.236176069706287	0.206544858116726
GTF2H3	0.666046621832908	0.580713825398016
GTF2H4	0.280493932496255	0.264851183270068
GTF2H5	-0.102307977389616	-0.124381340057137
CDK7	0.351135860172332	0.220300184474789
CCNH	0.00665685553448868	0.0220398087835967
MNAT1	0.364765198066007	0.284382256621257
ERCC5	0.17618114106779	0.111160802029686
ERCC1	-0.0453414952470522	-0.0361283226167835
ERCC4	0.544921627424668	0.324266261692229
LIG1	0.513250765338329	0.641148821350246
XAB2	-0.0274967371591389	-0.00296672599465879
MMS19	0.41445885353509	0.306652697177807
RAD51	0.571705649852296	0.74760905171511
RAD51B	0.474522910328873	0.401724128829607
RAD51D	0.442647529741022	0.551640347255615
DMC1	0.374287720906792	0.436298960261872
XRCC2	0.645643841839849	0.785148518090729
XRCC3	0.484171572581246	0.619724136174906
RAD52	0.333518882473381	0.296317199337247
RAD54L	0.556517343728846	0.741517504118061
RAD54B	0.616516490232471	0.657679900772654
BRCA1	0.69456072549499	1
SHFM1	0.0629138950095489	0.185967898236341
RAD50	0.440943526483289	0.296170823277422
MRE11A	0.554672175639049	0.5365234755634
NBN	0.531063897316379	0.406780999503356
RBBP8	0.50506596326164	0.38665495615261
MUS81	0.217008434044793	0.226923090421958
EME1	0.548633417796256	0.741604950837418
EME2	0.163408013105659	0.133731196877572
SLX1A	0.0200050930332897	0.129240470208269
SLX1B	0.15646789866121	0.0545754460372928
GEN1	0.606103882994908	0.715353978908802
FANCA	0.542831217226623	0.718398894043302
FANCB	0.628883940298756	0.775078344543327
FANCC	0.361961487830498	0.412001559523582
BRCA2	0.665529152439587	0.806948432728978
FANCD2	0.652486336961802	0.785123604928292
FANCE	0.503023154293753	0.529835705182963
FANCF	0.331893014862904	0.213453405411556
FANCG	0.511978200155086	0.622495678142704
FANCI	0.665362685028901	0.810167241572082
BRIP1	0.648917458929707	0.804610707213029
FANCL	0.372860879771792	0.355853707118604
FANCM	0.672614465020272	0.6699158897584
PALB2	1	0.69456072549499
RAD51C	0.298043849613196	0.369540062712972
SLX4	0.54920079732853	0.558461713616602
FAAP20	-0.22530848243719	-0.14151203598838
FAAP24	0.412889972231633	0.465404163579718
XRCC6	0.388070703124939	0.413181190983123
XRCC5	0.547440157542635	0.470214879814109
PRKDC	0.689018604599619	0.695411757151493
LIG4	0.252866876148649	0.173879834888969
XRCC4	0.467547391905225	0.442999258066099
DCLRE1C	0.457059779253658	0.519564482933092
NHEJ1	0.217885275534195	0.187614147151227
NUDT1	0.289625584882454	0.474316229698471
DUT	0.270906570162707	0.330906888533865
RRM2B	0.132873008804905	-0.0228866583255301
POLB	0.280702333281153	0.230291853273538
POLG	0.413499423411917	0.402425132965612
POLD1	0.41943238702565	0.591182988875149
POLE	0.5349624305384	0.709558337771955
PCNA	0.598121609906207	0.69453460065675
REV3L	0.37934897317968	0.315755248822909
MAD2L2	0.0970876556179978	0.23058221309773
REV1	0.508127787878633	0.364880901778975
POLH	0.489899398973992	0.424103124389905
POLI	0.154406169554588	0.0165426728985515
POLQ	0.637423430569132	0.804960150899529
POLK	0.242633905715434	0.126088138270567
POLL	-0.122619551162498	-0.186385428229433
POLM	0.233326469496942	0.201601005981831
POLN	-0.0990524443407377	-0.109316331352702
FEN1	0.531358871558294	0.695811194891264
FAN1	0.379734039208567	0.262383917815053
TREX1	-0.0702253222134618	-0.0663848189309654
TREX2	0.123638952904522	0.0927110429062208
EXO1	0.625504362982274	0.781313216314862
APTX	0.331372814462165	0.30115736579195
SPO11	0.0369824718489435	0.0310951947622012
ENDOV	-0.130345760766908	-0.211952232968164
UBE2A	0.494480873439031	0.453648319584902
UBE2B	0.0132937768562189	-0.11330578112685
RAD18	0.598547516493568	0.660457226835972
SHPRH	0.511761896784273	0.401779870339063
HLTF	0.39353276725765	0.308219849033369
RNF168	0.60226513299531	0.595954763950588
SPRTN	0.641550863024718	0.549654680026157
RNF8	0.439768442990312	0.384280689976088
RNF4	0.498276184959428	0.401560704568107
UBE2V2	0.361404313711798	0.345133872559798
UBE2N	0.390397344120046	0.34832713164252
H2AFX	0.238065360588193	0.433248632531362
CHAF1A	0.518208197195944	0.706475511069329
SETMAR	0.0706344186217011	0.0118509430199396
BLM	0.584058154191981	0.765684961550304
WRN	0.594332709836934	0.538220048316068
RECQL4	0.416857284374452	0.611227862551523
ATM	0.30381347664707	0.221058504742706
MPLKIP	0.191704364360212	0.224691583140552
DCLRE1A	0.4832611494394	0.352528757597211
DCLRE1B	0.670981353379431	0.674713787796287
RPA4	0.161738452062309	0.309641752168315
PRPF19	0.29913392118926	0.302891276608131
RECQL	0.609214731939315	0.537579253050868
RECQL5	0.16569341204314	0.155941147639424
HELQ	0.240967053000438	0.102213855790235
RDM1	0.327696832774336	0.520623436559319
NABP2	0.224406187788019	0.269454182487794
ATR	0.61988006995466	0.543246816952076
ATRIP	0.250165143561416	0.341417329854014
MDC1	0.529444174141604	0.575077951625036
RAD1	0.490326732140879	0.459545186166199
RAD9A	0.209921996888654	0.282826237105717
HUS1	0.388054316002698	0.393836288739591
RAD17	0.349137310686239	0.217773639362055
CHEK1	0.577986229443218	0.716614263517086
CHEK2	0.477887494503326	0.599875930814309
TP53	0.285468174470701	0.277469388396441
TP53BP1	0.367907740420191	0.23796340727399
RIF1	0.650987406791454	0.599257742930461
TOPBP1	0.763402512547479	0.778857256742793
CLK2	0.376023620081116	0.347812618487932
PER1	-0.276181221593642	-0.274958112855495
